NodeName,FLOPs,WeightMemory[MB],OutMemory[MB],"Edges[NumTensors, MB]..."
/model.23/cv3.0/cv3.0.0/cv3.0.0.0/act/Sigmoid_output_0_QuantizeLinear,1638400.0,4.9999999999999996e-06,0.4096,"(1, 0.4096)"
/model.23/cv3.0/cv3.0.0/cv3.0.0.0/act/Sigmoid_output_0_DequantizeLinear,1638400.0,4.9999999999999996e-06,1.6384,"(1, 1.6384)"
/model.23/cv2.0/cv2.0.0/conv/Conv_output_0_QuantizeLinear,1638400.0,4.9999999999999996e-06,0.4096,"(1, 0.4096)"
/model.23/cv2.0/cv2.0.0/conv/Conv_output_0_DequantizeLinear,1638400.0,4.9999999999999996e-06,1.6384,"(1, 1.6384)","(1, 1.6384)"
/model.23/cv2.0/cv2.0.0/act/Sigmoid,26214400.0,0,1.6384,"(1, 1.6384)"
/model.23/cv2.0/cv2.0.0/act/Mul,819200.0,0,1.6384,"(1, 1.6384)"
/model.23/cv2.0/cv2.0.0/act/Mul_output_0_QuantizeLinear,1638400.0,4.9999999999999996e-06,0.4096,"(1, 0.4096)"
/model.23/cv2.0/cv2.0.0/act/Mul_output_0_DequantizeLinear,1638400.0,4.9999999999999996e-06,1.6384,"(1, 1.6384)"
/model.23/cv2.0/cv2.0.1/conv/Conv,472678400.0,0,1.6384,"(1, 1.6384)"
/model.23/cv2.0/cv2.0.1/conv/Conv_output_0_QuantizeLinear,1638400.0,4.9999999999999996e-06,0.4096,"(1, 0.4096)"
/model.23/cv2.0/cv2.0.1/conv/Conv_output_0_DequantizeLinear,1638400.0,4.9999999999999996e-06,1.6384,"(1, 1.6384)","(1, 1.6384)"
/model.23/cv2.0/cv2.0.1/act/Sigmoid,26214400.0,0,1.6384,"(1, 1.6384)"
/model.23/cv2.0/cv2.0.1/act/Mul,819200.0,0,1.6384,"(1, 1.6384)"
/model.23/cv2.0/cv2.0.1/act/Mul_output_0_QuantizeLinear,1638400.0,4.9999999999999996e-06,0.4096,"(1, 0.4096)"
/model.23/cv2.0/cv2.0.1/act/Mul_output_0_DequantizeLinear,1638400.0,4.9999999999999996e-06,1.6384,"(1, 1.6384)"
/model.23/cv2.0/cv2.0.2/Conv,53248000.0,0,1.6384,"(1, 1.6384)"
/model.23/cv2.0/cv2.0.2/Conv_output_0_QuantizeLinear,1638400.0,4.9999999999999996e-06,0.4096,"(1, 0.4096)"
/model.23/cv2.0/cv2.0.2/Conv_output_0_DequantizeLinear,1638400.0,4.9999999999999996e-06,1.6384,"(1, 1.6384)"
/model.23/cv2.0/cv2.0.1/act/Sigmoid_output_0_QuantizeLinear,1638400.0,4.9999999999999996e-06,0.4096,"(1, 0.4096)"
