,/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,Error
216,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.3161182329058647
217,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.30941104143857956
218,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.3201552629470825
219,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.31094840914011
220,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.3156472519040108
221,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.03631340991705656
222,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010838204296305776
223,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01712734578177333
224,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3085584491491318
225,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.04651563987135887
226,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.3153984919190407
227,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0544329434633255
228,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.05030462518334389
229,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.31626515835523605
230,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3066386356949806
231,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3101934343576431
232,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.3059416636824608
233,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.03417439665645361
234,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.31778687983751297
235,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.310391366481781
236,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.3159375339746475
237,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.30708047747612
238,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.04351923428475857
239,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.04279494844377041
